item,itemLabel
http://www.wikidata.org/entity/Q113724486,screenshot software
http://www.wikidata.org/entity/Q114210323,Nintendo Switch emulator
http://www.wikidata.org/entity/Q114461696,cave surveying software
http://www.wikidata.org/entity/Q114873882,DVR software
http://www.wikidata.org/entity/Q114981191,software simulator
http://www.wikidata.org/entity/Q115049441,Music Player Daemon client
http://www.wikidata.org/entity/Q17155032,software category
http://www.wikidata.org/entity/Q487365,gateway
http://www.wikidata.org/entity/Q570871,email client
http://www.wikidata.org/entity/Q643876,Virtual printer
http://www.wikidata.org/entity/Q907342,compatibility layer
http://www.wikidata.org/entity/Q1074158,educational software
http://www.wikidata.org/entity/Q1727373,lint
http://www.wikidata.org/entity/Q1756442,LR parser
http://www.wikidata.org/entity/Q3077240,forge
http://www.wikidata.org/entity/Q15079042,spaced repetition software
http://www.wikidata.org/entity/Q24963804,help desk software
http://www.wikidata.org/entity/Q28057030,ERP software
http://www.wikidata.org/entity/Q28168011,X server
http://www.wikidata.org/entity/Q1755130,residential gateway
http://www.wikidata.org/entity/Q1941556,GSM Gateway
http://www.wikidata.org/entity/Q2465461,default gateway
http://www.wikidata.org/entity/Q2597557,XMPP transport
http://www.wikidata.org/entity/Q21072586,WebRTC Gateway
http://www.wikidata.org/entity/Q327618,webmail
http://www.wikidata.org/entity/Q2100811,point
http://www.wikidata.org/entity/Q12765697,Q12765697
http://www.wikidata.org/entity/Q188558,Wine
http://www.wikidata.org/entity/Q4272073,MKS Toolkit
http://www.wikidata.org/entity/Q1224999,educational video game
http://www.wikidata.org/entity/Q3696233,courseware
http://www.wikidata.org/entity/Q6078050,education platform
http://www.wikidata.org/entity/Q7628422,study software
http://www.wikidata.org/entity/Q10314140,Kelix
http://www.wikidata.org/entity/Q14905958,Q14905958
http://www.wikidata.org/entity/Q21570197,typing tutor
http://www.wikidata.org/entity/Q25421947,Q25421947
http://www.wikidata.org/entity/Q63951851,computer-assisted learning
http://www.wikidata.org/entity/Q99263266,anti-plagiarism software
http://www.wikidata.org/entity/Q2311792,Splint
http://www.wikidata.org/entity/Q1204392,LALR parser
http://www.wikidata.org/entity/Q1760114,GLR parser
http://www.wikidata.org/entity/Q2709511,Simple LR parser
http://www.wikidata.org/entity/Q5033355,Canonical LR parser
http://www.wikidata.org/entity/Q58898459,interactive tutorial
http://www.wikidata.org/entity/Q60616268,language learning video game
http://www.wikidata.org/entity/Q60617574,brain fitness video game
http://www.wikidata.org/entity/Q65007441,humanitarian video game
http://www.wikidata.org/entity/Q92257769,reading game
http://www.wikidata.org/entity/Q694007,learning management system
http://www.wikidata.org/entity/Q1194674,computer-assisted language learning
http://www.wikidata.org/entity/Q20822063,Esperanto learning tool
http://www.wikidata.org/entity/Q15726780,edukado.net
